"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"rhombus","blue",4,-2,2,"accept",713,1
2,"diamond","orange",5,-6,-1,"accept",726,0
3,"rhombus","purple",4,-5,-1,"accept",391,0
4,"diamond","purple",5,-5,0,"accept",2212,1
5,"squiggle","purple",6,-5,1,"reject",1118,0
6,"diamond","red",5,-1,4,"accept",1153,1
7,"triangle","purple",2,-5,-3,"reject",2956,1
8,"squiggle","yellow",6,-4,2,"accept",1047,1
9,"circle","red",3,-1,2,"accept",966,1
10,"diamond","yellow",5,-4,1,"accept",1357,1
11,"squiggle","purple",6,-5,1,"reject",2107,0
12,"square","purple",1,-5,-4,"accept",1185,0
13,"diamond","orange",5,-6,-1,"accept",1671,0
14,"squiggle","purple",6,-5,1,"accept",1483,1
15,"circle","blue",3,-2,1,"accept",1478,1
16,"square","red",1,-1,0,"reject",1533,1
17,"square","blue",1,-2,-1,"accept",737,0
18,"square","blue",1,-2,-1,"accept",679,0
19,"square","purple",1,-5,-4,"reject",897,1
20,"triangle","yellow",2,-4,-2,"accept",1777,0
21,"triangle","red",2,-1,1,"accept",1534,1
22,"square","green",1,-3,-2,"reject",1820,1
23,"squiggle","purple",6,-5,1,"accept",1482,1
24,"circle","yellow",3,-4,-1,"accept",1369,0
25,"squiggle","orange",6,-6,0,"reject",2003,1
26,"triangle","blue",2,-2,0,"accept",1254,1
27,"diamond","green",5,-3,2,"accept",1827,1
28,"circle","orange",3,-6,-3,"reject",1873,1
29,"triangle","yellow",2,-4,-2,"accept",2024,0
30,"triangle","orange",2,-6,-4,"reject",1960,1
31,"squiggle","orange",6,-6,0,"reject",2396,1
32,"square","orange",1,-6,-5,"accept",373,0
33,"square","blue",1,-2,-1,"accept",1260,0
34,"square","yellow",1,-4,-3,"accept",742,0
35,"triangle","orange",2,-6,-4,"reject",2078,1
36,"triangle","yellow",2,-4,-2,"accept",2419,0
37,"triangle","green",2,-3,-1,"accept",2231,0
38,"triangle","green",2,-3,-1,"accept",1738,0
39,"circle","red",3,-1,2,"reject",550,0
40,"square","yellow",1,-4,-3,"accept",1867,0
41,"triangle","purple",2,-5,-3,"accept",421,0
42,"diamond","green",5,-3,2,"accept",2189,1
43,"triangle","blue",2,-2,0,"accept",2662,1
44,"triangle","purple",2,-5,-3,"accept",1505,0
45,"square","green",1,-3,-2,"accept",1811,0
46,"diamond","orange",5,-6,-1,"accept",563,0
47,"rhombus","yellow",4,-4,0,"accept",1165,1
48,"diamond","purple",5,-5,0,"accept",705,1
49,"circle","yellow",3,-4,-1,"accept",1081,0
50,"diamond","yellow",5,-4,1,"accept",962,1
51,"triangle","yellow",2,-4,-2,"reject",607,1
52,"circle","blue",3,-2,1,"accept",918,1
53,"diamond","green",5,-3,2,"accept",3263,1
54,"rhombus","orange",4,-6,-2,"accept",847,0
55,"square","blue",1,-2,-1,"accept",1354,0
56,"squiggle","green",6,-3,3,"accept",2908,1
57,"rhombus","red",4,-1,3,"accept",996,1
58,"circle","blue",3,-2,1,"accept",1783,1
59,"diamond","orange",5,-6,-1,"reject",1463,1
60,"circle","purple",3,-5,-2,"accept",660,0
61,"rhombus","purple",4,-5,-1,"accept",1177,0
62,"squiggle","red",6,-1,5,"accept",1148,1
63,"squiggle","orange",6,-6,0,"accept",1043,1
64,"diamond","orange",5,-6,-1,"accept",435,0
65,"square","yellow",1,-4,-3,"reject",1401,1
66,"square","red",1,-1,0,"accept",1750,1
67,"diamond","orange",5,-6,-1,"reject",1817,1
68,"circle","purple",3,-5,-2,"accept",4121,0
69,"rhombus","orange",4,-6,-2,"accept",1197,0
70,"circle","blue",3,-2,1,"accept",3491,1
71,"circle","orange",3,-6,-3,"reject",1808,1
72,"squiggle","green",6,-3,3,"reject",1179,0
73,"diamond","green",5,-3,2,"accept",1541,1
74,"diamond","red",5,-1,4,"reject",1334,0
75,"triangle","yellow",2,-4,-2,"reject",1230,1
76,"diamond","purple",5,-5,0,"accept",1008,1
77,"triangle","red",2,-1,1,"accept",811,1
78,"square","yellow",1,-4,-3,"accept",1032,0
79,"triangle","red",2,-1,1,"accept",4177,1
80,"triangle","blue",2,-2,0,"accept",1914,1
