"trial","shape","colour","shape_value","colour_value","value","choice","rt","accuracy"
1,"diamond","red",5,-1,4,"accept",509,1
2,"squiggle","blue",6,-2,4,"reject",542,0
3,"triangle","yellow",2,-4,-2,"reject",516,1
4,"square","orange",1,-6,-5,"accept",1909,0
5,"squiggle","blue",6,-2,4,"accept",1434,1
6,"squiggle","yellow",6,-4,2,"accept",825,1
7,"rhombus","green",4,-3,1,"accept",1129,1
8,"diamond","orange",5,-6,-1,"accept",915,0
9,"diamond","red",5,-1,4,"accept",1392,1
10,"square","green",1,-3,-2,"accept",1454,0
11,"squiggle","purple",6,-5,1,"accept",938,1
12,"triangle","green",2,-3,-1,"reject",3657,1
13,"triangle","blue",2,-2,0,"accept",1192,1
14,"squiggle","red",6,-1,5,"reject",1128,0
15,"circle","yellow",3,-4,-1,"accept",915,0
16,"triangle","purple",2,-5,-3,"reject",1565,1
17,"triangle","red",2,-1,1,"reject",798,0
18,"diamond","purple",5,-5,0,"accept",1453,1
19,"square","green",1,-3,-2,"reject",1485,1
20,"rhombus","blue",4,-2,2,"reject",1688,0
21,"squiggle","orange",6,-6,0,"accept",906,1
22,"circle","blue",3,-2,1,"accept",3844,1
23,"squiggle","green",6,-3,3,"reject",1097,0
24,"diamond","purple",5,-5,0,"accept",833,1
25,"diamond","red",5,-1,4,"accept",712,1
26,"squiggle","purple",6,-5,1,"reject",1692,0
27,"square","orange",1,-6,-5,"accept",2273,0
28,"rhombus","red",4,-1,3,"reject",2308,0
29,"squiggle","red",6,-1,5,"reject",966,0
30,"triangle","purple",2,-5,-3,"reject",1226,1
31,"squiggle","yellow",6,-4,2,"accept",1631,1
32,"diamond","orange",5,-6,-1,"accept",584,0
33,"squiggle","purple",6,-5,1,"accept",1817,1
34,"rhombus","purple",4,-5,-1,"reject",2232,1
35,"triangle","yellow",2,-4,-2,"accept",965,0
36,"circle","purple",3,-5,-2,"accept",387,0
37,"square","orange",1,-6,-5,"accept",1853,0
38,"rhombus","green",4,-3,1,"accept",2070,1
39,"rhombus","green",4,-3,1,"reject",1519,0
40,"square","purple",1,-5,-4,"reject",3527,1
41,"rhombus","purple",4,-5,-1,"accept",2375,0
42,"square","yellow",1,-4,-3,"accept",1062,0
43,"triangle","blue",2,-2,0,"reject",897,1
44,"circle","yellow",3,-4,-1,"reject",3422,1
45,"squiggle","yellow",6,-4,2,"accept",2802,1
46,"diamond","orange",5,-6,-1,"accept",3577,0
47,"rhombus","red",4,-1,3,"accept",1416,1
48,"squiggle","green",6,-3,3,"reject",367,0
49,"squiggle","blue",6,-2,4,"reject",3069,0
50,"circle","blue",3,-2,1,"accept",1413,1
51,"square","purple",1,-5,-4,"reject",431,1
52,"rhombus","purple",4,-5,-1,"accept",4429,0
53,"rhombus","green",4,-3,1,"reject",2018,0
54,"circle","green",3,-3,0,"accept",3206,1
55,"triangle","purple",2,-5,-3,"reject",1690,1
56,"square","green",1,-3,-2,"reject",1112,1
57,"diamond","blue",5,-2,3,"reject",523,0
58,"circle","yellow",3,-4,-1,"accept",2332,0
59,"triangle","yellow",2,-4,-2,"accept",3223,0
60,"circle","purple",3,-5,-2,"reject",2555,1
61,"rhombus","yellow",4,-4,0,"reject",2849,1
62,"triangle","red",2,-1,1,"accept",2862,1
63,"triangle","orange",2,-6,-4,"accept",1572,0
64,"rhombus","blue",4,-2,2,"reject",1885,0
65,"square","blue",1,-2,-1,"accept",424,0
66,"circle","purple",3,-5,-2,"reject",918,1
67,"triangle","red",2,-1,1,"accept",657,1
68,"square","orange",1,-6,-5,"accept",850,0
69,"circle","orange",3,-6,-3,"accept",1660,0
70,"triangle","orange",2,-6,-4,"reject",953,1
71,"squiggle","purple",6,-5,1,"accept",4201,1
72,"diamond","red",5,-1,4,"accept",1569,1
73,"squiggle","blue",6,-2,4,"accept",1486,1
74,"diamond","blue",5,-2,3,"accept",1617,1
75,"squiggle","red",6,-1,5,"reject",1375,0
76,"square","blue",1,-2,-1,"accept",3553,0
77,"square","red",1,-1,0,"reject",728,1
78,"squiggle","green",6,-3,3,"accept",1594,1
79,"rhombus","blue",4,-2,2,"accept",2111,1
80,"circle","blue",3,-2,1,"reject",868,0
81,"diamond","yellow",5,-4,1,"accept",1695,1
82,"triangle","yellow",2,-4,-2,"reject",1408,1
83,"circle","blue",3,-2,1,"accept",1192,1
84,"square","orange",1,-6,-5,"accept",1055,0
85,"square","orange",1,-6,-5,"accept",1649,0
86,"squiggle","red",6,-1,5,"accept",697,1
87,"circle","orange",3,-6,-3,"reject",572,1
